State,Naics,Establishments,Employees,Payroll
AK,454390,31,71,2981
AK,481111,46,2860,312586
AK,481112,15,1299,164099
AK,481211,82,901,75665
AK,481212,6,284,36686
AK,481219,6,42,3510
AK,483113,72,859,95145
AK,483114,12,14,4284
AK,483212,6,7,1084
AK,484110,53,569,41864
AK,484121,49,965,80605
AK,484122,5,104,8947
AK,484210,25,395,22534
AK,484220,63,225,22366
AK,484230,15,215,16769
AK,485310,6,34,1571
AK,485320,4,181,6544
AK,485410,5,46,1010
AK,485999,3,4,131
AK,486110,4,116,22056
AK,487110,37,246,26571
AK,487210,146,463,57946
AK,487990,25,189,20861
AK,488119,16,465,20213
AK,488190,70,1095,82864
AK,488330,34,158,20584
AK,488390,12,52,3376
AK,488410,21,132,7131
AK,488490,8,43,2294
AK,488510,37,636,42700
AK,492110,38,2666,392615
AK,492210,4,52,1629
AK,493110,20,847,44003
AK,493190,3,5,276
AK,511110,4,11,530
AK,511210,7,41,4381
AK,512110,16,63,4942
AK,512131,8,184,3424
AK,515112,25,222,13043
AK,515120,5,117,9298
AK,517311,145,3373,346075
AK,517312,45,831,58152
AK,517919,6,44,2325
AK,518210,18,825,54672
AK,519130,5,13,612
AK,522110,100,1598,127420
AK,522120,4,73,6586
AK,522130,86,2108,155583
AK,522292,35,271,24446
AK,522298,14,75,5064
AK,522310,12,72,5635
AK,522320,5,20,812
AK,522390,5,16,537
AK,523120,25,126,28326
AK,523910,11,12,772
AK,523920,73,242,37862
AK,523930,29,111,9381
AK,523991,7,9,1355
AK,523999,3,6,175
AK,524113,4,18,2559
AK,524114,5,39,3787
AK,524126,13,147,12533
AK,524127,5,148,9895
AK,524210,166,1093,88306
AK,524291,4,49,2676
AK,524292,6,61,4582
AK,524298,3,18,1347
AK,531110,153,507,26181
AK,531120,116,641,47263
AK,531130,42,150,5231
AK,531190,32,252,6688
AK,531210,362,844,48093
AK,531311,54,203,11317
AK,531312,38,168,10667
AK,531320,29,85,5254
AK,531390,40,90,4491
AK,532111,44,489,30469
AK,532120,14,149,9977
AK,532210,4,15,830
AK,532284,12,7,741
AK,532411,7,4,1847
AK,532412,30,244,34304
AK,532490,20,81,4729
AK,541110,291,1387,147139
AK,541199,8,34,1314
AK,541211,124,803,62549
AK,541213,66,239,5909
AK,541214,7,97,13395
AK,541219,164,513,20767
AK,541310,31,200,24254
AK,541320,3,8,913
AK,541330,213,3943,407897
AK,541340,4,4,173
AK,541350,13,48,3678
AK,541360,3,1,66
AK,541370,57,278,23596
AK,541380,28,583,63041
AK,541410,9,25,1930
AK,541430,8,20,966
AK,541511,59,1607,138649
AK,541512,65,1421,140659
AK,541513,17,210,23789
AK,541519,14,158,14404
AK,541611,147,1668,159203
AK,541612,6,320,24664
AK,541613,30,90,4239
AK,541614,14,185,13835
AK,541618,9,176,19871
AK,541620,67,898,70306
AK,541690,47,314,27498
AK,541715,18,340,19583
AK,541720,6,29,2125
AK,541810,27,172,12401
AK,541820,15,80,7889
AK,541860,3,7,336
AK,541890,6,94,1564
AK,541910,3,9,794
AK,541921,21,69,1981
AK,541922,9,16,541
AK,541940,72,927,50573
AK,541990,51,277,23794
AK,551112,37,629,90211
AK,551114,128,4414,690998
AK,561110,99,779,64904
AK,561210,62,5620,390189
AK,561311,3,23,988
AK,561320,42,838,47443
AK,561410,4,103,7362
AK,561431,12,94,3260
AK,561439,4,12,347
AK,561492,3,4,296
AK,561499,3,5,196
AK,561510,14,56,3625
AK,561520,67,563,45074
AK,561611,3,4,162
AK,561612,26,1675,81779
AK,561613,3,64,3396
AK,561621,9,52,5213
AK,561622,6,40,1806
AK,561710,12,50,2374
AK,561720,241,2659,111828
AK,561730,209,866,54410
AK,561740,9,116,6178
AK,561790,38,214,10866
AK,561920,4,15,1191
AK,561990,49,333,20054
AK,562111,22,361,23138
AK,562211,3,60,4124
AK,562910,65,865,83255
AK,562991,17,110,8101
AK,611110,33,576,19529
AK,611310,7,392,15356
AK,611430,6,9,476
AK,611512,13,106,5269
AK,611513,12,53,4285
AK,611519,12,61,3486
AK,611610,33,190,3285
AK,611620,59,525,10051
AK,611630,3,11,56
AK,611691,13,90,2387
AK,611692,5,24,1019
AK,611699,21,139,2967
AK,611710,19,176,9206
AK,621111,430,5073,585361
AK,621112,23,93,9211
AK,621210,307,2395,162346
AK,621310,130,769,37175
AK,621320,52,364,25095
AK,621330,121,319,20683
AK,621340,173,1075,67199
AK,621391,6,35,2769
AK,621399,115,421,26508
AK,621410,7,55,2299
AK,621420,51,1001,63931
AK,621492,3,88,3708
AK,621493,30,506,46588
AK,621498,111,4172,349284
AK,621511,29,181,12664
AK,621512,13,126,19849
AK,621610,31,704,31190
AK,621910,14,259,26957
AK,621999,27,148,8543
AK,622110,8,8083,838118
AK,622310,4,28,6360
AK,623110,11,983,44530
AK,623210,143,1304,51326
