,fips,relevant_naics,YEAR,estab,emp,payann
274,24,424910,2017,41,208,17191
276,24,424460,2017,45,695,38846
278,24,424930,2017,39,1320,37880
280,24,424340,2017,5,69,7747
282,24,424480,2017,51,2227,107945
284,24,423210,2017,88,1352,95266
286,24,424410,2017,41,2298,134337
288,24,424510,2017,9,0,0
290,24,423710,2017,82,1003,76567
292,24,423220,2017,91,1441,81927
294,24,423620,2017,29,276,19757
296,24,424130,2017,51,1387,93504
298,24,423830,2017,282,3666,292360
300,24,423840,2017,85,656,45695
302,24,423940,2017,47,94,4626
304,24,423310,2017,94,1590,103659
306,24,424470,2017,24,895,38464
