,fips,relevant_naics,YEAR,estab,emp,payann
593,26,424590,2017,3,40,1272
595,26,424490,2017,359,7538,382560
597,26,423990,2017,195,1616,94369
599,26,424990,2017,222,1530,100490
601,26,423490,2017,50,298,21977
603,26,424420,2017,31,843,50454
605,26,424950,2017,39,525,26444
607,26,424720,2017,44,317,29035
609,26,424710,2017,69,1054,60974
611,26,423410,2017,3,0,0
613,26,424310,2017,28,1106,47705
615,26,424610,2017,106,1202,94054
617,26,423720,2017,150,2014,124405
619,26,424440,2017,3,0,0
620,26,424110,2017,16,139,11407
622,26,423930,2017,199,2316,126662
624,26,423740,2017,15,253,19021
626,26,423330,2017,67,869,64478
628,26,423850,2017,102,1095,61343
630,26,423910,2017,84,670,37069
632,26,424120,2017,89,921,57908
634,26,423130,2017,47,744,38503
636,26,424940,2017,29,299,15819
638,26,423920,2017,18,191,7159
640,26,423860,2017,15,165,12286
642,26,423730,2017,191,2035,144697
644,26,425120,2017,1157,8692,510543
646,26,424820,2017,29,1050,56108
648,26,424330,2017,34,334,11719
650,26,446199,2017,582,4054,160284
652,26,442299,2017,326,4318,72709
654,26,445299,2017,174,1546,24500
656,26,441310,2017,1370,11640,292546
658,26,445291,2017,154,832,10792
660,26,445310,2017,1667,6197,112476
662,26,441222,2017,156,1224,60731
664,26,448130,2017,162,1834,24099
666,26,448150,2017,188,1305,20925
668,26,445292,2017,65,338,6450
670,26,445120,2017,793,3936,62970
672,26,446120,2017,479,4312,70240
674,26,443142,2017,801,7174,210390
676,26,448140,2017,664,14224,217225
678,26,445220,2017,70,257,4006
680,26,442210,2017,290,2696,87785
682,26,446191,2017,218,896,17099
684,26,445230,2017,43,827,16467
686,26,442110,2017,551,5945,227473
688,26,447110,2017,3230,22443,437644
690,26,444130,2017,590,5615,126707
692,26,444110,2017,156,17243,447236
694,26,443141,2017,203,1965,64541
696,26,448310,2017,578,3173,105143
698,26,448320,2017,9,40,2051
700,26,445210,2017,167,1327,27806
702,26,448110,2017,179,1472,35457
704,26,441228,2017,193,1934,71322
706,26,441110,2017,683,37026,2005571
708,26,444220,2017,424,3249,101629
710,26,446130,2017,392,2549,88821
712,26,444190,2017,939,8302,396163
714,26,448190,2017,382,3714,65856
716,26,447190,2017,332,2710,58918
718,26,444210,2017,140,1230,50424
720,26,444120,2017,165,884,29235
722,26,446110,2017,1752,17810,746223
724,26,441210,2017,60,1051,54143
726,26,448210,2017,627,5567,88786
728,26,445110,2017,1796,59464,1273415
730,26,441320,2017,490,4897,202784
732,26,441120,2017,707,3481,143166
734,26,442291,2017,37,139,4952
736,26,448120,2017,771,7659,109366
738,26,452319,2017,1544,13432,202419
740,26,453998,2017,920,3060,81643
742,26,453920,2017,93,511,30719
744,26,451211,2017,168,1864,30038
746,26,452210,2017,121,13633,246997
748,26,454110,2017,916,7147,295726
750,26,453110,2017,345,1976,35318
752,26,454310,2017,223,1678,70178
754,26,453220,2017,587,4389,72787
756,26,451120,2017,203,3344,52524
758,26,453930,2017,10,536,20886
760,26,451140,2017,62,811,17943
762,26,451212,2017,12,32,638
764,26,453210,2017,113,1410,30003
766,26,454390,2017,699,3070,120111
768,26,453910,2017,267,3278,65554
770,26,451130,2017,114,1457,18107
772,26,451110,2017,731,8251,169524
774,26,453991,2017,357,1261,21229
776,26,453310,2017,600,5237,83753
778,26,454210,2017,72,921,32569
780,26,452311,2017,293,56723,1382744
782,26,488999,2017,12,23,441
784,26,485999,2017,39,204,4903
786,26,485113,2017,3,12,187
788,26,485510,2017,13,192,5408
790,26,483113,2017,5,194,19083
792,26,483114,2017,3,37,4670
794,26,488510,2017,461,6432,344582
796,26,484110,2017,1107,8354,384437
798,26,484122,2017,316,6673,365042
800,26,484121,2017,1314,16371,797725
802,26,485210,2017,6,8,85
803,26,485320,2017,61,383,10114
805,26,488410,2017,240,1933,72036
807,26,488330,2017,3,8,272
808,26,481212,2017,4,0,0
810,26,481211,2017,14,128,10250
812,26,488119,2017,31,1924,50998
814,26,481219,2017,4,4,504
816,26,488190,2017,42,912,45264
818,26,488490,2017,79,816,25938
820,26,488390,2017,8,15,851
822,26,488991,2017,27,421,15808
824,26,486110,2017,3,0,0
826,26,486210,2017,10,42,5998
828,26,486910,2017,3,0,0
829,26,487110,2017,6,0,0
831,26,487990,2017,3,3,100
832,26,487210,2017,7,13,1760
834,26,481111,2017,29,10863,1004206
836,26,485410,2017,29,1379,34828
838,26,485991,2017,86,1178,26421
840,26,484220,2017,718,5187,288250
842,26,484230,2017,241,3748,217341
844,26,488210,2017,19,382,18621
846,26,485310,2017,38,159,3634
