Naics,Establishments,Employees,Payroll,fips
3118,18,809,30740,31055
3119,6,188,6415,31055
3121,5,74,3369,31055
3141,3,15,347,31055
3149,11,100,3146,31055
3152,5,32,1234,31055
3219,8,134,2663,31055
3222,4,518,30150,31055
3231,69,1792,94774,31055
3254,10,554,43468,31055
3261,17,1314,63523,31055
3273,13,239,8186,31055
3279,5,63,2923,31055
3323,19,869,43547,31055
3326,3,19,588,31055
5414,36,123,5185,31109
5415,144,1562,89394,31109
5416,166,920,63384,31109
5417,27,870,50401,31109
5418,56,674,33842,31109
5419,84,1206,59728,31109
3327,20,231,9631,31055
3328,4,25,1126,31055
3331,3,2622,177602,31055
3329,4,160,7283,31055
3332,5,594,17028,31055
3333,3,16,559,31055
3335,3,11,406,31055
3339,11,537,31296,31055
3345,5,129,8938,31055
3346,4,72,4866,31055
3371,15,124,5297,31055
3372,6,1014,49676,31055
3391,27,855,49053,31055
3399,21,326,14087,31055
4231,47,1030,48335,31055
4232,25,228,12758,31055
5511,59,2024,165117,31109
5611,32,803,40805,31109
5613,41,2249,62536,31109
5612,3,75,6417,31109
5614,45,889,23557,31109
5615,13,203,10120,31109
5616,26,338,9998,31109
5617,271,1622,41558,31109
4233,38,364,22191,31055
4234,118,1792,151037,31055
4235,10,109,6145,31055
4236,50,751,57614,31055
4237,62,733,54964,31055
4238,113,1322,81728,31055
5619,17,60,3306,31109
5621,41,490,19175,31109
5629,7,100,4722,31109
6113,6,1460,40910,31109
6111,17,631,16839,31109
6114,9,9,429,31109
6115,12,69,2097,31109
6116,72,612,6779,31109
6117,14,163,4515,31109
4239,48,634,32650,31055
6211,220,3989,410803,31109
4241,21,244,16984,31055
4242,20,533,22814,31055
4243,5,63,2580,31055
4244,63,2263,165435,31055
4245,7,659,97031,31055
4246,28,336,20633,31055
4247,7,259,8394,31055
4248,7,665,41523,31055
4249,52,617,29859,31055
6212,139,1110,59806,31109
6213,292,1405,54856,31109
6214,76,1085,51470,31109
6215,16,375,19446,31109
6216,19,414,12876,31109
6219,11,386,14913,31109
6221,5,6079,310260,31109
4251,72,533,50011,31055
6231,13,2232,79234,31109
4411,79,2817,173414,31055
4412,18,234,11824,31055
4413,93,950,32637,31055
4421,27,1003,50613,31055
4422,50,607,16171,31055
4431,52,985,39748,31055
6232,41,1213,31851,31109
6233,29,1656,37951,31109
6239,3,41,1135,31109
6241,106,2268,51696,31109
6242,16,299,8871,31109
6243,11,82,2521,31109
6244,107,1662,29708,31109
7111,8,139,964,31109
7112,4,99,2485,31109
