Country,CountryName,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
LK,Sri Lanka,9783871,10022888,10267067,10517531,10774086,11035224,11299721,11571008,11846815,12119207,12388769,12654651,12914457,13169737,13418276,13662873,13910170,14159052,14414816,14680387,14943645,15198918,15438753,15658442,15872577,16092338,16317995,16547139,16773736,16990575,17204094,17416596,17624457,17825611,18011744,18177572,18322506,18449123,18560798,18670411,18776371,18920275,19110707,19303180,19490431,19673866,19870706,20078655,20285643,20482477,20668557,20859743,21017147,21131756,21239457,21336697,21425494,21506813,21670000,21803000,21919000,22156000,22181000
LS,Lesotho,737838,760895,784681,809138,834215,860220,887841,918923,952992,987909,1023481,1059879,1097242,1135631,1175369,1216180,1256478,1294435,1331213,1368917,1407672,1447501,1488399,1530331,1573267,1616697,1659793,1698939,1733733,1767091,1798997,1829509,1858507,1885478,1910642,1934079,1955098,1972579,1985639,1994243,1998630,1999473,1997534,1993030,1985384,1977424,1976780,1983465,1995014,2009169,2022747,2037677,2054718,2073939,2095242,2118521,2143872,2170617,2198017,2225702,2254100,2281454,2305825
LT,Lithuania,2755600,2801500,2845600,2881100,2916800,2953600,2989300,3026800,3062000,3095700,3118941,3160437,3197645,3229598,3259277,3288510,3314794,3342533,3367538,3391490,3404194,3422210,3443684,3470673,3499711,3528698,3560388,3597439,3635295,3674802,3693708,3701968,3706299,3693929,3671296,3642991,3615212,3588013,3562261,3536401,3512074,3486998,3454637,3431497,3398929,3355220,3289835,3249983,3212605,3183856,3141976,3052588,3003641,2971905,2943472,2921262,2888558,2847904,2808901,2794184,2794885,2800839,2831639
LU,Luxembourg,313050,314889,318800,322700,325500,330000,333000,334790,335200,336500,338507,339841,345000,348200,352700,357400,360500,360962,361753,362261,363450,364850,365600,365450,365794,366202,367210,369500,372000,374900,379300,384400,389600,394750,400200,405650,411600,416850,422050,427350,433600,439000,444050,448300,454960,461230,469086,476187,483799,493500,502066,511840,524853,537039,549680,562958,576249,590667,602005,613894,630419,640064,653103
LV,Latvia,2104128,2137830,2167531,2195640,2226198,2255048,2276789,2289645,2312795,2334443,2351903,2366424,2386353,2404995,2426642,2447730,2464529,2477449,2492697,2503145,2508761,2514640,2524202,2537958,2554063,2570030,2587716,2612068,2641097,2665770,2668140,2658161,2643000,2585675,2540904,2500580,2469531,2444912,2420789,2399248,2381715,2353384,2320956,2299390,2276520,2249724,2227874,2208840,2191810,2162834,2120504,2074605,2044813,2023825,2001468,1986096,1968957,1950116,1934379,1919968,1900449,1884490,1879383
MO,Macau,177014,178672,186039,193618,201380,209278,217232,225151,232929,240416,247284,249832,248669,247838,247280,246919,246661,246405,246048,245605,245332,248695,256692,266253,276591,287700,299491,311808,324478,337336,350227,362390,372370,380712,388779,396641,404297,411700,418776,425518,431896,439122,449665,462533,475529,488619,501863,515330,529038,543021,557297,571003,582766,593374,604167,615239,626688,638609,650991,663653,676283,686607,695168
MF,Saint Martin,4135,4258,4388,4524,4666,4832,5044,5294,5497,5646,5802,5957,6114,6278,6447,6656,6896,7131,7357,7572,7776,7963,8957,10992,13299,15714,18234,20853,23552,26303,28127,28736,29035,29247,29380,29435,29407,29299,29102,29099,29610,30387,31160,31929,32697,33452,34183,34887,35541,36132,36458,36350,36026,35639,35261,35020,34811,34496,33852,33121,32553,31948,31791
MA,Morocco,11769774,12081713,12404757,12726686,13044254,13381880,13738502,14109755,14490077,14876982,15274351,15677300,16081438,16489452,16902383,17325325,17756516,18206472,18679859,19167661,19678444,20208260,20746765,21287381,21817271,22335077,22824446,23279935,23720590,24148104,24570814,24988083,25400676,25806777,26201551,26599048,26999093,27397118,27791825,28176997,28554415,28930097,29301817,29661270,30033125,30431902,30833022,31232633,31634992,32042877,32464865,32903699,33352169,33803527,34248603,34680458,35107264,35528115,35927511,36304408,36688772,37076584,37457971
MC,Monaco,21797,21907,22106,22442,22766,23022,23198,23281,23481,23875,24270,24610,24889,25102,25262,25524,25898,26242,26553,26834,27076,27284,27573,27985,28407,28807,29171,29500,29802,30078,30329,30564,30794,31024,31253,31482,31719,31968,32209,32394,32465,32444,32386,32316,32828,33085,32011,31823,31862,32401,33178,33945,34700,35425,36110,36760,37071,37044,37029,37034,36922,36686,36469
MD,Moldova,2074015,2127854,2177676,2222675,2264461,2301425,2336782,2369729,2400264,2429193,2456514,2483032,2509550,2536068,2563389,2590711,2618032,2643746,2668657,2692764,2716068,2740175,2765889,2792407,2819728,2847050,2875175,2904907,2931424,2952317,2965978,2973210,2975621,2974817,2967585,2953200,2947293,2936413,2935227,2930622,3644070,3635112,3627812,3618312,3607435,3600436,3589936,3581110,3572703,3567512,3563695,3560430,3559541,3559497,3557634,3555159,2803186,3550852,2707203,2664224,2635130,2595809,2538894
MG,Madagascar,5073342,5206239,5343117,5484252,5630024,5780453,5936461,6099529,6270528,6450324,6639751,6840457,7051090,7268560,7491935,7720859,7955197,8195142,8440919,8692289,8948162,9207310,9470990,9740088,10015017,10297746,10588428,10890514,11206789,11536734,11882762,12245260,12623342,13020100,13436121,13869138,14317454,14778903,15250934,15730885,16216431,16709665,17211934,17724310,18250774,18792171,19350299,19924958,20513599,21117092,21731053,22348158,22966240,23588073,24215976,24850912,25501941,26169542,26846541,27533134,28225177,28915653,29611714
MV,Maldives,91650,93952,96332,98775,101241,104566,108713,112547,116049,119569,123243,127066,130990,134940,138944,143126,147468,151792,156025,160326,164887,169663,174523,179339,184388,190383,197225,204256,211160,217937,224957,232150,239136,245845,252201,258208,263841,269040,273796,278111,282507,287324,292284,297226,302135,307018,314401,325126,336883,349037,361575,374440,387539,400728,416738,435582,454252,472442,489758,504508,514438,521457,523787
MX,Mexico,36268055,37439317,38683283,39982118,41333878,42737991,44180437,45656963,47170337,48714394,50289306,51897675,53543436,55228203,56945880,58691882,60452543,62262505,64123997,65972912,67705186,69233769,70656783,72080310,73489654,74872006,76224365,77553504,78892015,80233749,81720428,83351595,84993164,86648447,88314424,89969572,91586555,93183094,94767284,96334810,97873442,99394288,100917081,102429341,103945813,105442402,106886790,108302973,109684489,111049428,112532401,114150481,115755909,117290686,118755887,120149897,121519221,122839258,124013861,125085311,125998302,126705138,127504125
MH,Marshall Islands,15374,15867,16387,16947,17537,18154,18794,19665,21001,22623,23969,24680,25084,25522,26174,27047,27964,28912,29892,30902,31988,33219,34569,35975,37437,38962,40527,42122,43687,44988,46047,47053,48015,48944,49840,50702,51538,52358,53164,53834,54224,54413,54496,54493,54435,54337,54208,54038,53816,53593,53416,52971,52203,51352,50419,49410,48329,47187,45989,44728,43413,42050,41569
MK,Macedonia [FYROM],1384451,1399403,1417200,1438342,1461522,1486469,1512988,1538694,1562211,1589217,1616769,1641353,1666798,1692113,1717090,1742780,1769890,1797145,1823151,1849388,1878067,1904570,1928856,1954972,1980139,2004709,2029175,2052953,2077056,2100246,1873109,1890872,1908941,2061000,1936741,1957265,1971687,1991398,2002340,2012705,2021578,2031112,2038651,2023654,2029892,2035196,2038514,2041941,2045177,2048619,2052722,2057284,2059794,2062294,2065769,2069172,2071278,2073702,2075301,2077132,2072531,2065092,2057679
ML,Mali,5346792,5420247,5494845,5570462,5647380,5726382,5806572,5888497,5973762,6061764,6153587,6247878,6347158,6455257,6569273,6687293,6807648,6935336,7072938,7218079,7372581,7532864,7696349,7863944,8030099,8187651,8334588,8474329,8617474,8774122,8945026,9123969,9310572,9506510,9711797,9921094,10131906,10359301,10620475,10916993,11239101,11583824,11952660,12342165,12751995,13180551,13623541,14080912,14551117,15032635,15529181,16039734,16514687,17004033,17551814,18112907,18700106,19311355,19934298,20567424,21224040,21904983,22593590
MT,Malta,327200,325250,323900,322550,321250,320600,315200,311550,307900,304300,302500,302800,302450,302200,301996,301892,306551,304997,308942,311421,315262,318028,319936,331859,329189,331997,340907,343334,345636,349014,352430,361908,365781,369455,373161,376433,378404,381405,384176,386397,388759,391415,394641,397296,399867,402668,404999,405616,407832,410926,414027,414989,417546,422509,429424,439691,450415,460297,475701,493559,515332,518536,531113
MM,Myanmar,21720697,22203109,22699703,23210687,23737818,24286878,24854704,25440029,26044111,26659479,27284112,27914953,28551949,29165356,29751936,30344276,30941375,31554598,32185601,32821779,33465781,34110098,34742586,35424262,36159838,36881020,37572340,38233171,38868270,39489419,40099553,40680533,41237813,41788302,42337109,42880186,43423369,43972046,44516185,45041636,45538332,46014826,46480230,46924293,47338446,47724471,48088274,48445647,48729486,49015836,49390988,49794522,50218185,50648334,51072436,51483949,51892349,52288341,52666014,53040212,53423198,53798084,54179306
ME,Montenegro,480579,491140,502558,513409,521753,526327,526419,522796,517481,513340,512407,515449,521785,530220,538902,546487,552562,557576,562065,566888,572608,579445,587001,594506,600884,605398,607711,608144,607413,606571,606372,607105,608516,610170,611389,611712,611003,609520,607662,606001,603152,605988,608460,610510,612214,613420,613109,614624,615543,617157,619001,619850,620308,620893,621521,622099,622218,622387,622359,622182,621306,619211,617213
MN,Mongolia,977903,1011502,1045315,1075888,1104017,1134072,1165746,1198197,1230406,1261887,1293880,1327781,1363835,1402309,1443130,1485691,1529084,1572516,1615868,1657448,1697780,1739221,1781797,1825773,1871652,1919744,1969912,2021502,2073771,2120825,2161433,2200077,2236494,2270311,2301510,2330334,2357033,2381771,2405148,2428488,2450979,2472601,2494617,2516454,2537949,2559255,2581242,2605643,2633887,2666713,2702520,2743938,2792349,2845153,2902823,2964749,3029555,3096030,3163991,3232430,3294335,3347782,3398366
MP,Northern Mariana Islands,8702,8965,9252,9561,9890,10229,10577,10720,10440,9952,10143,11279,12730,14094,14905,15269,15595,15901,16194,16494,17613,19902,22647,25594,28735,32041,35459,38923,42381,45859,48002,48302,48128,47948,47780,48717,53367,60817,68501,76237,80338,79479,77162,74623,71898,69025,66060,63050,60032,57056,54087,52520,52359,52141,51856,51514,51133,50729,50304,49858,49587,49481,49551
MZ,Mozambique,6788375,6917521,7060376,7209807,7363639,7524154,7689643,7859471,8035529,8217930,8411676,8622890,8860585,9123668,9404221,9703732,10019210,10363575,10741128,11127844,11413587,11640015,11901827,12163328,12426223,12680065,12909797,12964793,12956772,13087604,13303459,13561175,13816881,14206254,14912873,15594830,16079553,16521724,16923195,17337893,17768505,18220716,18694946,19186754,19694411,20211114,20735982,21280513,21845571,22436660,23073723,23760421,24487611,25251731,26038704,26843246,27696493,28569441,29423878,30285595,31178239,32077072,32969518
MR,Mauritania,838478,861663,885938,911290,937830,965621,994697,1024992,1056393,1088832,1122198,1156361,1191376,1227358,1264352,1302436,1341604,1381329,1421786,1463514,1506694,1551687,1598332,1646343,1695675,1746265,1798009,1851092,1905847,1955040,2006027,2066302,2147527,2237064,2315191,2380341,2428816,2484278,2550501,2620611,2695003,2761823,2821703,2883326,2946575,3012360,3081229,3153508,3233336,3322616,3419461,3524249,3636113,3742959,3843174,3946220,4051890,4160015,4270712,4383849,4498604,4614974,4736139
MU,Mauritius,676683,680757,700349,718861,736381,753000,768813,783917,798413,812405,826000,839230,852053,864819,878042,892000,906507,921379,933499,949888,966039,980462,992521,1001691,1012221,1020528,1028360,1036082,1043239,1051260,1058775,1070266,1084441,1097374,1112846,1122457,1133996,1148284,1160421,1175267,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258927,1261208,1262879,1263747,1264887,1265577,1265985,1266014,1266334,1262523
MW,Malawi,3621081,3708193,3799155,3893628,3990361,4089097,4190764,4295762,4403430,4512861,4625141,4742480,4865978,4996239,5134199,5280965,5438226,5611712,5808810,6029140,6267369,6519891,6784347,7058317,7339002,7625078,7909819,8295993,8754781,9174895,9539665,9831584,10115420,10257233,10131799,10112816,10310528,10512678,10732456,10973956,11229387,11498818,11784498,12087965,12411342,12755648,13118307,13495463,13889423,14298932,14718422,15146094,15581251,16024775,16477966,16938942,17405624,17881167,18367883,18867337,19377061,19889742,20405317
MY,Malaysia,7833782,8074805,8324218,8579350,8835925,9091016,9340240,9582086,9821308,10061684,10306508,10552557,10801619,11062664,11335187,11617947,11910081,12218924,12543892,12875011,13215707,13564594,13921029,14292862,14686454,15108135,15558740,16033103,16524616,17020143,17517054,18017464,18526708,19050077,19588703,20136888,20689051,21249178,21810542,22368655,22945150,23542517,24142445,24739411,25333247,25923536,26509413,27092604,27664296,28217204,28717731,29184133,29660212,30134807,30606459,31068833,31526418,31975806,32399271,32804020,33199993,33573874,33938221
NA,Namibia,590181,601424,613808,627358,642054,657887,674818,693063,712427,732881,754467,776995,800610,824918,850091,876572,901840,926109,942023,957334,975994,987394,1005520,1033085,1061995,1093311,1127989,1165430,1207949,1288070,1369011,1415617,1461687,1509834,1558449,1605370,1650066,1693242,1735953,1778277,1819141,1856402,1888525,1915425,1939406,1962865,1986558,2011492,2038552,2067919,2099271,2132340,2167470,2204510,2243001,2282704,2323352,2364534,2405680,2446644,2489098,2530151,2567012
NC,New Caledonia,79000,81200,83400,85700,88100,90500,93500,96500,99500,104000,112000,120000,125500,128500,131000,132500,134000,136000,137500,138500,140050,142650,145700,148700,151650,154450,157350,160500,163650,166898,170899,175362,179799,184496,189482,193816,197564,201418,205279,209214,213230,217324,221490,225296,228750,232250,235750,239250,242750,245950,249750,254350,259000,263650,268050,269460,270220,270810,271170,271240,271080,270390,269220
NE,Niger,3497431,3602530,3711068,3822697,3937008,4053524,4172501,4294283,4417954,4542993,4669708,4797068,4926318,5059382,5196579,5339497,5488658,5644703,5810351,5987151,6173177,6366262,6564445,6766606,6973849,7187618,7408364,7636591,7872252,8116075,8370648,8634640,8907644,9193078,9493324,9813918,10149937,10494201,10854920,11231469,11622665,12031430,12456517,12900790,13366885,13855221,14365168,14897873,15455175,16037915,16647543,17283112,17954407,18653199,19372014,20128124,20921743,21737922,22577058,23443393,24333639,25252722,26207977
NG,Nigeria,44928342,45855507,46821845,47822569,48856332,49925799,51020296,52106681,53210119,54360750,55569264,56837614,58173834,59605446,61157931,62851312,64658315,66589655,68633344,70750307,72951439,75175387,77388067,79351586,81337553,83585251,85804185,88044187,90351467,92744064,95214257,97685360,100182045,102775465,105456121,108187610,110956183,113791181,116690527,119695565,122851984,126152678,129583026,133119801,136756848,140490722,144329764,148294028,152382506,156595758,160952853,165463745,170075932,174726123,179379016,183995785,188666931,193495907,198387623,203304492,208327405,213401323,218541212
NI,Nicaragua,1789684,1844630,1901451,1960155,2020941,2084097,2150003,2219001,2291300,2366635,2444767,2525481,2603182,2682747,2769211,2857461,2947454,3038680,3128544,3214311,3303309,3397659,3491906,3584610,3674501,3763034,3852017,3941463,4033291,4129447,4227820,4327289,4427172,4526689,4625260,4721929,4812391,4895962,4974552,5049878,5123222,5192764,5259006,5323062,5386223,5454678,5529811,5607453,5687744,5770639,5855734,5942553,6030607,6119379,6208676,6298598,6389235,6480532,6572233,6663924,6755895,6850540,6948392
NL,Netherlands,11417254,11556008,11721416,11889962,12041970,12212269,12377194,12535307,12661095,12798346,12957621,13119430,13269563,13387623,13491020,13599092,13733578,13814495,13897874,13985526,14091014,14208586,14285829,14339551,14394589,14453833,14529430,14615125,14714948,14805240,14892574,15010445,15129150,15239182,15341553,15424122,15493889,15567107,15654192,15760225,15863950,15987075,16105285,16192572,16258032,16305526,16334210,16357992,16405399,16485787,16574989,16655799,16730348,16779575,16829289,16900726,16979120,17081507,17181084,17282163,17441500,17533044,17700982
NO,Norway,3567707,3594771,3624829,3653006,3680068,3708609,3737726,3768298,3800780,3832192,3863221,3888305,3917773,3948234,3972990,3997525,4017101,4035202,4051208,4066134,4078900,4092340,4107063,4122511,4134353,4145845,4159187,4175521,4198289,4220686,4233116,4249830,4273634,4299167,4324815,4348410,4369957,4392714,4417599,4445329,4478497,4503436,4524066,4552252,4577457,4606363,4640219,4681134,4737171,4799252,4858199,4920305,4985870,5051275,5107970,5166493,5210721,5258317,5295619,5328212,5379475,5408320,5457127
NP,Nepal,10167941,10365144,10570716,10782717,11002819,11232951,11470199,11715579,11970411,12231874,12501285,12774870,13052220,13335963,13626301,13925541,14230738,14550430,14888770,15238564,15600442,15969792,16347124,16740664,17141610,17540571,17936926,18326204,18720745,19145077,19616530,20130779,20702133,21267359,21794751,22305571,22783969,23249417,23703328,24143157,24559500,24956071,25332178,25682908,26003965,26285110,26518971,26713655,26881544,27026941,27161567,27266399,27330694,27381555,27462106,27610325,27861186,28183426,28506712,28832496,29348627,30034989,30547580
NR,Nauru,4582,4753,4950,5198,5484,5804,6021,6114,6288,6508,6663,6778,6883,6990,7096,7199,7306,7441,7541,7586,7635,7691,7672,7832,8125,8313,8527,8759,9022,9306,9598,9902,10129,10226,10274,10316,10345,10363,10377,10383,10377,10363,10351,10344,10335,10318,10294,10267,10243,10233,10241,10283,10444,10694,10940,11185,11437,11682,11924,12132,12315,12511,12668
NZ,New Zealand,2371800,2419700,2482000,2531800,2585400,2628400,2675900,2724100,2748100,2772800,2810700,2853000,2903900,2961300,3023700,3083100,3110500,3120200,3121200,3109000,3112900,3124900,3156100,3199300,3227100,3247100,3246300,3274400,3283400,3299200,3329800,3495100,3531700,3572200,3620000,3673400,3732000,3781300,3815000,3835100,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5111400,5124100
OM,Oman,536553,546443,557139,568603,580824,593808,607538,622042,637379,653593,670693,688803,708045,728597,754676,787194,824081,866124,912750,963351,1017462,1075624,1138301,1204626,1273306,1353289,1443446,1533351,1623433,1713838,1804524,1895187,1985227,2071868,2133675,2172672,2209958,2245588,2279727,2312600,2344253,2374653,2403659,2431600,2468855,2515192,2560649,2605700,2651028,2697537,2881914,3206870,3535579,3816680,4009267,4191776,4398070,4541854,4601157,4602768,4543399,4520471,4576298
PK,Pakistan,45954226,47060915,48161841,49325050,50552592,51841626,53199414,54629793,56124743,57676805,59290872,60878781,62509565,64285624,66149169,68126999,70230923,72451105,74789330,77407341,80624057,84270202,87828198,91080372,94003867,97121552,100618523,104251093,107967838,111670386,115414069,119203569,122375179,125546615,129245139,133117476,137234810,141330267,145476106,149694462,154369924,159217727,163262807,166876680,170648620,174372098,178069984,181924521,185931955,190123222,194454498,198602738,202205861,205337562,208251628,210969298,213524840,216379655,219731479,223293280,227196741,231402117,235824862
PA,Panama,1126989,1160832,1196289,1233267,1271461,1310556,1350462,1391072,1432255,1473965,1516188,1559072,1602646,1646580,1690676,1734876,1779037,1823146,1867313,1911814,1956987,2003092,2050247,2098499,2147577,2197065,2246960,2297231,2347821,2398535,2449968,2502044,2554382,2607499,2661385,2716067,2771606,2827992,2885177,2943120,3001731,3061024,3120990,3181608,3243311,3305868,3368573,3431614,3495276,3559343,3623617,3688674,3754862,3821556,3888793,3957099,4026336,4096063,4165255,4232532,4294396,4351267,4408581
PE,Peru,10172207,10478096,10792094,11112665,11442301,11781581,12127990,12481626,12843249,13213739,13562371,13911968,14292437,14674785,15057175,15441497,15826813,16224613,16638480,17059185,17492406,17932344,18374372,18826906,19285646,19746610,20208437,20671360,21143799,21624311,22109099,22583006,23047248,23513882,23983258,24449055,24907304,25365386,25818226,26252239,26654439,27014909,27334503,27623341,27893911,28147267,28381078,28600387,28806185,29009326,29229572,29477721,29749589,30038809,30353951,30711863,31132779,31605486,32203944,32824861,33304756,33715471,34049588
PH,Philippines,28486871,29342411,30185979,31043711,31916622,32805538,33704749,34616857,35544973,36477170,37435586,38421746,39412479,40406234,41388324,42394433,43474370,44646518,45890739,47154232,48419546,49679330,50938522,52219685,53514959,54812660,56109838,57415175,58755923,60127343,61558898,63039751,64543525,66083321,67650283,69250468,70944969,72718837,74491918,76249064,77958223,79626086,81285572,82942837,84607501,86261250,87901835,89561377,91252326,92946951,94636700,96337913,98032317,99700107,101325201,103031365,104875266,106738501,108568836,110380804,112190977,113880328,115559009
PW,Palau,9446,9639,9851,10076,10318,10563,10813,10992,11079,11159,11366,11740,12172,12541,12662,12607,12539,12463,12387,12300,12252,12386,12666,12973,13299,13644,13985,14309,14632,14957,15293,15640,16004,16380,16770,17209,17732,18297,18852,19380,19726,19828,19851,19880,19907,19831,19619,19366,19102,18826,18540,18240,17946,17805,17796,17794,17816,17837,17864,17916,17972,18024,18055
PG,Papua New Guinea,1985666,2035672,2082562,2129222,2175409,2222178,2271490,2322647,2375356,2430922,2489059,2549315,2610700,2672144,2733313,2794462,2855837,2917572,2979606,3041902,3104788,3169073,3235264,3303677,3374465,3447579,3522916,3600343,3679651,3764112,3864972,3990995,4136644,4291588,4451694,4616439,4785895,4960439,5138829,5321388,5508297,5698489,5892596,6090980,6293166,6498818,6708217,6921066,7137988,7358890,7583269,7806637,8026545,8245627,8464153,8682174,8899169,9114796,9329227,9542486,9749640,9949437,10142619
PL,Poland,29479900,29795000,30133000,30484000,30940000,31338900,31551000,31811000,32163310,32426000,32670600,32658000,32909000,33202300,33512100,33845698,34184700,34527900,34850200,35081000,35413434,35734865,36062309,36398652,36744964,37063303,37340467,37571771,37764318,37884655,38038403,38183160,38309226,38418108,38504707,38580597,38609399,38639341,38659979,38666983,38263303,38253955,38242197,38218531,38190608,38173835,38157055,38125479,38115641,38135876,38022869,38062718,38063792,38062535,38017856,38005614,37967209,37972964,37976687,37972812,37899070,37747124,36821749
PR,Puerto Rico,2358000,2399722,2450322,2504530,2554066,2594000,2624995,2645674,2662064,2684150,2718000,2762190,2817256,2878786,2939299,2994000,3043854,3088690,3129421,3168088,3206000,3242552,3277453,3311138,3344190,3377000,3409554,3441850,3473898,3505650,3537000,3562110,3585176,3615497,3649237,3683103,3724655,3759430,3781101,3800081,3810605,3818774,3823701,3826095,3826878,3821362,3805214,3782995,3760866,3740410,3721525,3678732,3634488,3593077,3534874,3473232,3406672,3325286,3193354,3193694,3281557,3262693,3221789
KP,North Korea,11655666,11916515,12180505,12475236,12787523,13105946,13444048,13821409,14216305,14605481,14996879,15381626,15768363,16128122,16437002,16723252,16987170,17231389,17472094,17719172,17973650,18235202,18502087,18771363,19045154,19325487,19613038,19903893,20197464,20494965,20799523,21115534,21439991,21773017,22105225,22385536,22614347,22827373,23023636,23204498,23367059,23512522,23638411,23781707,23948930,24100982,24235761,24356506,24469047,24581509,24686435,24783789,24887770,25001819,25126131,25258015,25389611,25516321,25638149,25755441,25867467,25971909,26069416
PT,Portugal,8826040,8889392,8969240,9018730,9041980,9028750,8968440,8893540,8855500,8817800,8697610,8663252,8624260,8636600,8629600,8879130,9307810,9403810,9507540,9608960,9713570,9819054,9883670,9939871,9975859,10016605,10030621,10034846,10025215,10014005,9995995,9970441,9950029,9954958,9974391,10008659,10043693,10084196,10133758,10186634,10249022,10330774,10394669,10444592,10473050,10494672,10511988,10532588,10553339,10563014,10573479,10572721,10542398,10487289,10427301,10374822,10341330,10309573,10291027,10276617,10297081,10361831,10409704
PY,Paraguay,1894829,1941208,1989376,2039390,2090840,2143153,2195955,2248882,2301887,2355122,2408787,2463777,2521508,2583160,2648082,2714664,2782624,2852430,2924370,2999415,3078912,3163299,3251678,3343276,3437892,3535498,3636027,3739050,3844437,3951288,4059195,4167996,4277051,4386202,4495301,4603917,4711655,4818289,4923449,5026031,5123819,5211541,5286512,5353254,5416324,5476878,5534675,5590145,5645148,5702574,5768613,5843939,5923322,6005652,6090721,6177950,6266615,6355404,6443328,6530026,6618695,6703799,6780744
PF,French Polynesia,84851,86921,89208,91963,95192,98674,102281,105995,109832,113803,117891,122108,126457,130883,135349,139833,144356,149007,153745,158563,163591,168892,174343,179042,183146,187578,192196,196856,201740,206571,211089,215444,219621,223714,227682,231446,235189,239036,242882,246821,250927,255049,259137,263173,267132,271060,274901,278178,280558,282283,283788,285265,286584,288032,289873,291787,293541,295450,297606,299717,301920,304032,306279
QA,Qatar,36385,40111,45123,50950,57531,64843,73102,82517,93022,104517,118007,133096,148338,163734,179299,195043,210990,227177,243624,260368,277450,294887,312608,330454,348241,365868,382328,397391,412142,426896,441675,456486,471293,486041,500683,515133,529265,550591,580997,613302,645937,678831,713186,748525,777943,848710,1015060,1231893,1444277,1610274,1713504,1804171,1905660,2035501,2214465,2414573,2595166,2711755,2766732,2807235,2760385,2688235,2695122
RO,Romania,18319210,18494600,18615900,18737200,18858500,18979752,19083400,19347500,19720984,19878678,20139603,20361192,20561942,20753972,20917390,21141468,21445698,21657569,21854622,22048305,22132670,22281894,22424246,22527235,22593720,22687374,22778624,22895058,23003802,23111521,23211395,23192274,22810035,22778533,22748027,22712394,22656145,22581862,22526093,22488595,22455485,22430457,21833483,21627509,21521142,21382354,21257016,21130503,20635460,20440290,20294683,20199059,20095996,20020074,19947311,19870647,19760585,19643949,19530631,19414458,19265250,19122059,19047009
RU,Russia,119897000,121236000,122591000,123960000,125345000,126745000,127468000,128196000,128928000,129664000,130404000,131155000,131909000,132669000,133432000,134200000,135147000,136100000,137060000,138027000,139010000,139941000,140823000,141668000,142745000,143858000,144894000,145908000,146857000,147721000,147969407,148394216,148538197,148458777,148407912,148375787,148160129,147915361,147670784,147214776,146890128,146303611,145649334,145166731,144168205,143474219,142753551,142220968,142008838,141903979,141914509,142856536,143056383,143506995,143666931,144096870,144342397,144496739,144477859,144406261,144073139,144130482,144236933
RW,Rwanda,2966162,3046654,3122124,3191311,3263640,3348631,3444021,3549461,3662010,3777879,3896367,4015403,4135579,4259484,4386369,4515756,4648207,4783252,4921953,5074374,5247532,5441966,5652900,5859396,6056729,6266752,6497804,6735829,6953975,7141974,7319962,7485681,7657208,7904740,6732665,5686897,6715510,7666732,7914645,8009587,8109989,8223941,8372306,8567992,8791853,9026299,9270066,9523168,9781996,10043737,10309031,10576932,10840334,11101350,11368451,11642959,11930899,12230339,12531808,12835028,13146362,13461888,13776698
SA,Saudi Arabia,4165563,4306048,4458516,4621655,4795130,4978922,5173237,5381026,5604582,5844843,6106191,6396658,6724260,7088758,7483506,7897544,8319556,8755219,9210564,9682002,10171710,10678211,11201154,11746020,12310361,12890245,13483349,14089798,14713715,15353227,16004763,16654276,17281350,17846461,18367528,18888857,19410280,19938377,20472580,21009660,21547390,22085929,22623415,23150847,23661808,24397644,25382870,26400068,27437353,28483797,29411929,30150945,30821543,31482498,32125564,32749848,33416270,34193122,35018133,35827362,35997107,35950396,36408820
SD,Sudan,8326462,8577490,8841338,9115091,9406702,9712785,10014505,10320500,10638899,10966145,11305206,11668921,12057260,12469591,12950962,13497543,14066007,14667218,15305806,15973034,16673586,17404336,18128631,18733995,19165837,19517196,19887452,20230532,20453819,20718709,21090886,21453711,21780059,22163251,22703631,23290602,23862258,24454372,25029144,25634162,26298773,26947253,27570318,28188977,28831550,29540577,30332968,31191163,32065241,32948155,33739933,34419624,35159792,35990704,37003245,38171178,39377169,40679828,41999059,43232093,44440486,45657202,46874204
SN,Senegal,3273177,3367082,3463524,3562469,3664599,3770874,3881994,3997869,4117659,4240859,4367744,4498616,4633452,4772039,4911421,5047922,5181195,5308297,5433225,5564474,5703869,5852029,6008392,6171874,6341801,6520705,6710885,6909837,7113636,7321832,7536001,7754289,7974514,8196551,8416997,8632681,8843423,9051539,9261526,9478564,9704287,9938027,10180950,10434504,10698691,10974057,11263387,11563869,11872929,12195029,12530121,12875880,13231833,13595566,13970308,14356181,14751356,15157793,15574909,16000781,16436120,16876720,17316449
