,fips,relevant_naics,YEAR,estab,emp,payann
264,15,423410,2017,4,14,1527
266,15,424310,2017,9,57,2467
268,15,424610,2017,7,40,2011
270,15,423720,2017,23,251,14597
272,15,424440,2017,3,69,2811
274,15,423930,2017,21,290,14340
276,15,423740,2017,3,28,2523
278,15,423330,2017,14,199,12360
280,15,423850,2017,17,159,9294
282,15,423910,2017,30,147,6095
284,15,424120,2017,26,180,9752
286,15,423130,2017,9,93,4851
288,15,424940,2017,3,4,169
290,15,423920,2017,10,109,3567
292,15,423860,2017,5,24,1424
294,15,423730,2017,18,218,22610
296,15,425120,2017,111,504,38035
298,15,424820,2017,12,520,35248
300,15,424330,2017,37,142,4747
302,15,446199,2017,29,187,7470
304,15,442299,2017,67,738,12332
306,15,445299,2017,17,101,1871
308,15,441310,2017,112,1129,36573
310,15,445291,2017,27,302,7381
312,15,445310,2017,64,231,5927
314,15,441222,2017,11,275,7291
316,15,448130,2017,27,262,3310
318,15,448150,2017,120,1196,42266
320,15,445292,2017,36,291,4929
322,15,445120,2017,146,995,21819
324,15,446120,2017,84,899,21864
326,15,443142,2017,85,1063,38221
328,15,448140,2017,292,6249,117170
330,15,445220,2017,17,243,6538
332,15,442210,2017,25,217,10516
334,15,446191,2017,66,243,6513
336,15,445230,2017,17,60,1761
338,15,442110,2017,67,531,20413
340,15,447110,2017,210,2259,56579
342,15,444130,2017,50,574,17099
344,15,444110,2017,26,2564,72787
346,15,443141,2017,20,106,3750
348,15,448310,2017,279,1491,61789
350,15,448320,2017,21,229,15986
352,15,445210,2017,13,42,992
354,15,448110,2017,57,457,9880
356,15,441228,2017,13,182,6266
358,15,441110,2017,74,4432,267131
360,15,444220,2017,39,200,5933
362,15,446130,2017,67,482,9505
364,15,444190,2017,92,711,35870
366,15,448190,2017,128,1184,23717
368,15,447190,2017,38,628,16744
370,15,444210,2017,7,16,685
372,15,444120,2017,31,133,5091
374,15,446110,2017,178,1644,121679
376,15,448210,2017,133,1460,26705
378,15,445110,2017,290,11343,332087
380,15,441320,2017,59,678,26797
382,15,441120,2017,53,264,13376
384,15,442291,2017,7,37,1053
386,15,448120,2017,218,2075,34127
388,15,452319,2017,35,1005,24570
390,15,453998,2017,60,347,9889
392,15,453920,2017,72,320,10583
394,15,451211,2017,12,149,2695
396,15,452210,2017,13,1882,52378
398,15,454110,2017,100,608,24417
400,15,453110,2017,66,405,9064
402,15,454310,2017,17,113,5925
404,15,453220,2017,332,2808,73933
406,15,451120,2017,32,357,5746
408,15,451140,2017,22,114,3442
410,15,451212,2017,3,3,147
412,15,453210,2017,25,335,8625
414,15,454390,2017,109,283,8452
416,15,453910,2017,31,305,7795
418,15,451130,2017,16,161,4010
420,15,451110,2017,119,883,21206
422,15,453991,2017,22,103,2460
424,15,453310,2017,67,689,16595
426,15,454210,2017,10,48,1362
428,15,452311,2017,35,8796,306238
430,15,485999,2017,19,459,10673
432,15,485113,2017,5,0,0
434,15,483113,2017,4,222,37137
